the_geom,ID Upra,ID Incoder,Nombre Distrito,Código departamento,Departamento,Código municipio,Municipio,Vereda,Área neta,Área bruta,Escala,Altitud,Tipo de Distrito ,Etapa Distrito,Funciona,Numero usuarios,Administra,Asociación de usuarios,Resolucion,Usos actuales,CAR,Fuentes hídricas,Concesion,Polígono,Entidad fuente,Longitud,Latitud,Nombre subzona hidrográfica,Código Subzona hidrográfica
POINT (-73.95055129763236 5.468070307127502),ADTP0076,81,SAMARIA,15,BOYACÁ,15109,BUENAVISTA,SAMARIA,60,0,Pequeña,2117,Riego y Drenaje,AOM,SI,22,ASOCIACION DE USUARIOS,SAMARIA,SIN INFORMACIÓN,Pastos,,,,,,,,,
POINT (-73.94999229255247 5.460407874114197),ADTP0077,82,ASOURIPANDES,15,BOYACÁ,15109,BUENAVISTA,SIN INFORMACIÓN,379,0,Pequeña,0,Riego y Drenaje,AOM,SI,232,ASOCIACION DE USUARIOS,ASOURIPANDES,SIN INFORMACIÓN,Pastos,,,,,,,,,
POINT (-72.41860387172825 6.6736176547512205),ADTP0081,83,LA UPA - APOSENTOS,15,BOYACÁ,15180,CHISCAS,SIN INFORMACIÓN,325,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,200,SIN INFORMACIÓN,ASOUPA,SIN INFORMACIÓN,SIN INFORMACIÓN,CORPOBOYACA,R. Pajarito,SI,NO,PROYECTAMOS,72° 25.116' W,6° 40.417' N,Río Cobugón - Río Cobaría,3703
POINT (-72.48181767643104 6.175309219999216),ADTP0082,84,CHIPA ALTO,15,BOYACÁ,15183,CHITA,CHIPA ALTO,178,0,Pequeña,3047,Riego y Drenaje,SIN INFORMACIÓN,NO,144,ASOCIACION DE USUARIOS,ASOCHIPALTO,868 del 27/12/1996,Pancojer (Papa,,,,,,,,,
POINT (-72.46158092412608 6.0932271670123646),ADTP0083,85,LAUREAL,15,BOYACÁ,15183,CHITA,LAUREAL,89,0,Pequeña,0,Riego y Drenaje,AOM,SI,92,ASOCIACION DE USUARIOS,ASOLAURELAL,733 del 07/11/1996,Cereales (Avena,,,,,,,,,
POINT (-73.42170038537975 5.984434545938959),ADTP0084,86,TURESA,15,BOYACÁ,15185,CHITARAQUE,SIN INFORMACIÓN,245,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,240,SIN INFORMACIÓN,ASOTURESA,SIN INFORMACIÓN,SIN INFORMACIÓN,CORPOBOYACA,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,73° 25.302' W,5° 59.066' N,Río Suárez,2401
POINT (-73.27804387083819 5.354595243866282),ADTP0085,87,CONCHUDO SAN VICENTE,15,BOYACÁ,15189,CIÉNEGA,SAN VICENTE,152,0,Pequeña,0,Riego y Drenaje,AOM,SI,158,ASOCIACION DE USUARIOS,ASOSANVICENTE,526 del 10/12/1997,Pastos,,,,,,,,,
POINT (-73.28367137556555 5.3900705887252345),ADTP0086,88,GUATARETA,15,BOYACÁ,15189,CIÉNEGA,GUATARETA,,,,,,,,,,,,,,,,,,,,,
POINT (-73.27329148798398 5.3871861154091505),ADTP0087,89,PICA,15,BOYACÁ,15189,CIÉNEGA,PIEDRA LARGA,,,,,,,,,,,,,,,,,,,,,
POINT (-72.91675699180834 5.6031610167727495),ADTP0088,90,ARBOLAMAVEG,15,BOYACÁ,15226,CUÍTIVA,MACIAS,,,,,,,,,,,,,,,,,,,,,
