the_geom,ID Upra,ID Incoder,Nombre Distrito,Código departamento,Departamento,Código municipio,Municipio,Vereda,Área neta,Área bruta,Escala,Altitud,Tipo de Distrito ,Etapa Distrito,Funciona,Numero usuarios,Administra,Asociación de usuarios,Resolucion,Usos actuales,CAR,Fuentes hídricas,Concesion,Polígono,Entidad fuente,Longitud,Latitud,Nombre subzona hidrográfica,Código Subzona hidrográfica
POINT (-75.47185699837291 5.26019824383665),ADTP0154,140,ALEGRÍAS,17,CALDAS,17050,ARANZAZU,EL ALTO,,,,,,,,,,,,,,,,,,,,,
POINT (-75.50521549793888 5.276105714820015),ADTP0155,141,SAN ANTONIO EL JARDIN,17,CALDAS,17050,ARANZAZU,SAN ANTONIO,,,,,,,,,,,,,,,,,,,,,
POINT (-75.43716672164184 4.935939528350122),ADTP0156,142,GUAYANA-SANTO DOMINGO,17,CALDAS,17873,VILLAMARIA,GUAYANA,,,,,,,,,,,,,,,,,,,,,
POINT (-75.86362334678485 4.945513362401778),ADTP0157,143,LA MARIA,17,CALDAS,17877,VITERBO,PREDIO SANTA ELENA,70,0,Pequeña,1745,Riego y Drenaje,AOM,SI,85,ASOCIACION DE USUARIOS,ASOLAMARIA,,,,,,,,,,,
"ASOSANTAELENA""",SIN INFORMACIÓN,Caña,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-72.86506315092623 4.8684170649154535),ADTP0158,144,BUENAVISTA,85,CASANARE,85162,MONTERREY,SIN INFORMACIÓN,117,0,Pequeña,490,Riego y Drenaje,SIN INFORMACIÓN,NO,37,ASOCIACION DE USUARIOS,ASOBUENAVISTA,1236 del 10/12/1993,Patilla,,,,,,,,,
POINT (-72.21289263260991 5.619852984053835),ADTP0159,145,LA CAPILLA,85,CASANARE,85225,NUNCHÍA,CAPILLA,35,0,Pequeña,308,Riego y Drenaje,AOM,SI,32,ASOCIACION DE USUARIOS,ASOCAPILLA,725 del 07/11/1996,Plátano,,,,,,,,,
POINT (-72.12861265166512 5.570857933957057),ADTP0160,146,PROCANAL,85,CASANARE,85225,NUNCHÍA,BARRANQUILLA,,,,,,,,,,,,,,,,,,,,,
POINT (-75.93137713316878 2.6997189329188824),ADTP0189,175,SAN ANTONIO,19,CAUCA,19517,PÁEZ (Belalcázar),SAN ANTONIO,25,0,Pequeña,1820,Riego y Drenaje,AOM,SI,28,ASOCIACION DE USUARIOS,ASOSANANTONIO,765 del 07/11/1996,Tomate de Árbol,,,,,,,,,
POINT (-72.78299231187061 5.073895467678293),ADTP0161,147,JAGUITO,85,CASANARE,85410,TAURAMENA,EL JAGUITO,,,,,,,,,,,,,,,,,,,,,
POINT (-72.95053123908235 4.595164134722029),ADTP0162,148,CARACOLI,85,CASANARE,85440,VILLANUEVA,CARACOLI,39,0,Pequeña,238,Riego y Drenaje,AOM,SI,34,ASOCIACION DE USUARIOS,ASOURCARACOLI,339 del 18/05/1993,Maíz,,,,,,,,,
POINT (-72.92471650501987 4.572601396646923),ADTP0163,149,EL HORQUETON,85,CASANARE,85440,VILLANUEVA,HORQUETON,35,0,Pequeña,246,Riego y Drenaje,AOM,SI,26,ASOCIACION DE USUARIOS,ASOHORQUETON,532 del 28/08/1996,Cacao,,,,,,,,,
POINT (-72.77599412102118 4.353341603911768),ADTP0164,150,EL TRIUNFO,85,CASANARE,85440,VILLANUEVA,EL TRIUNFO,80,0,Pequeña,300,Riego y Drenaje,SIN INFORMACIÓN,NO,60,ASOCIACION DE USUARIOS,ASOTRIUNFO,274 del 21/06/1996,Maíz,,,,,,,,,
POINT (-77.20974315488242 2.038830651862923),ADTP0165,151,EL VIJAL,19,CAUCA,19075,BALBOA,EL VIJAL,49,0,Pequeña,626,Riego y Drenaje,SIN INFORMACIÓN,NO,77,ASOCIACION DE USUARIOS,ASOVIJAL,531 del 28/08/1996,Maíz,,,,,,,,,
POINT (-77.19167395762184 2.0880973861898466),ADTP0166,152,PURETO,19,CAUCA,19075,BALBOA,SIN INFORMACIÓN,50,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,50,ASOCIACION DE USUARIOS,ASOPURETO,SIN INFORMACIÓN,SIN INFORMACIÓN,CRC,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,77° 11.500' W,2° 5.286' N,Río Patia Alto,5201
POINT (-74.91165790285689 4.012021446334513),ADTM0014,683,GUAMO,73,TOLIMA,73319,GUAMO,GUAMO,1526,0,Mediana,325,Riego y Drenaje,AOM,SI,174,SIN INFORMACIÓN,USOGUAMO,560 del 21/07/1992,Arroz,CORTOLIMA,R. Cucuana,SI,SI,INCODER,74° 54.699' W,4° 0.721' N,Río Luisa y otros directos al Magdalena,2118
POINT (-77.11409297406838 1.9330292948861156),ADTP0168,154,LA CARBONERA,19,CAUCA,19100,BOLÍVAR,LA CARBONERA,80,0,Pequeña,711,Riego y Drenaje,AOM,SI,106,ASOCIACION DE USUARIOS,ASCARBONERA,843 del 23/09/1993,Maíz,,,,,,,,,
POINT (-76.94592751737503 1.7566625568274714),ADTP0169,155,LOS TIGRES,19,CAUCA,19100,BOLÍVAR,LOS TIGRES,40,0,Pequeña,1280,Riego y Drenaje,AOM,SI,46,ASOCIACION DE USUARIOS,ASOTIGRES,1598,Maíz,,,,,,,,,
POINT (-76.63197247128011 2.9740731742904223),ADTP0170,156,CHAMBIMBE,19,CAUCA,19110,BUENOS AIRES,SIN INFORMACIÓN,54,0,Pequeña,0,Riego y Drenaje,AOM,SI,54,ASOCIACION DE USUARIOS,ASOCHAMBIMBE,SIN INFORMACIÓN,Plátano,,,,,,,,,
POINT (-76.6957518929384 2.657043677557991),ADTP0171,157,ESPARRAGOS,19,CAUCA,19130,CAJIBÍO,SIN INFORMACIÓN,200,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,200,SIN INFORMACIÓN,ASOESPARRAGOS,SIN INFORMACIÓN,SIN INFORMACIÓN,CRC,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,76° 41.745' W,2° 39.423' N,Río Palacé,2602
POINT (-76.44515057631818 2.806787074448996),ADTP0172,158,BUENAVISTA,19,CAUCA,19137,CALDONO,BUENAVISTA,291,0,Pequeña,490,Riego y Drenaje,SIN INFORMACIÓN,NO,71,ASOCIACION DE USUARIOS,ASOPRAB,SIN INFORMACIÓN,Tomate,,,,,,,,,
POINT (-76.52323999032693 2.771416542391456),ADTP0173,159,CIDRAL - SANTA BARBARA,19,CAUCA,19137,CALDONO,EL CIDRAL,12,0,Pequeña,0,Riego y Drenaje,AOM,SI,17,ASOCIACION DE USUARIOS,ASOELCIDRAL,353 del 28/06/1996,Yuca,,,,,,,,,
POINT (-76.45681077522896 2.805861252416328),ADTP0174,160,MONTERILLA,19,CAUCA,19137,CALDONO,SIN INFORMACIÓN,60,0,Pequeña,0,Riego y Drenaje,AOM,SI,64,ASOCIACION DE USUARIOS,ASOMONTERILLA,309 del 12/06/2001,Yuca,,,,,,,,,
POINT (-76.34086762233649 3.1130563643015736),ADTP0175,161,SAN LORENZO,19,CAUCA,19142,CALOTO,SAN LORENZO,70,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,20,INCODER,ASOSANLORENZO,870 del 27/12/1996,Frijol,,,,,,,,,
POINT (-76.32675940583003 3.116457990300398),ADTP0176,162,TOEZ,19,CAUCA,19142,CALOTO,TOEZ,100,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,62,INCODER,ASOTOEZ,SIN INFORMACIÓN,Pancoger,,,,,,,,,
POINT (-76.3278081172492 3.102120527418487),ADTP0177,163,PILAMO,19,CAUCA,19142,CALOTO,PILAMO,209,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,95,INCODER,PILAMO-PALENQUE,220 del 21/05/2013,Yuca,,,,,,,,,
POINT (-76.10299168517655 2.607389938244075),ADTP0178,164,QUIGUANAS,19,CAUCA,19355,INZÁ,QUIGUANAS,26,0,Pequeña,1380,Riego y Drenaje,AOM,SI,55,ASOCIACION DE USUARIOS,ASOQUIGUANAS,744 del 07/11/1996,Cítricos,,,,,,,,,
POINT (-76.13224726280909 2.497349190895142),ADTP0179,165,SANTA LUCIA O EL LAGO,19,CAUCA,19355,INZÁ,SIN INFORMACIÓN,53,0,Pequeña,0,Riego y Drenaje,AOM,SI,87,ASOCIACION DE USUARIOS,ASOLUCIA,SIN INFORMACIÓN,Hortalizas,,,,,,,,,
POINT (-76.32004848426192 2.80537302412435),ADTP0180,166,RIO MUÑOZ,19,CAUCA,19364,JAMBALÓ,SIN INFORMACIÓN,49,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,22,ASOCIACION DE USUARIOS,ASORIOMUÑOZ,SIN INFORMACIÓN,Papa,,,,,,,,,
POINT (-76.7869064378254 2.1838377084276224),ADTP0181,167,SAN PEDRO,19,CAUCA,19392,LA SIERRA,PALOGRANDE,50,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,100,ASOCIACION DE USUARIOS,SAOSANPEDRO,SIN INFORMACIÓN,Mora,,,,,,,,,
POINT (-76.77381697908517 2.0589301219343596),ADTP0182,168,GUAYABAL,19,CAUCA,19397,LA VEGA,GUAYABAL,45,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,35,ASOCIACION DE USUARIOS,ASOGUAYABAL,SIN INFORMACIÓN,Café,,,,,,,,,
POINT (-76.84763836760794 2.0505372473912815),ADTP0183,169,LOS AMARILLOS,19,CAUCA,19397,LA VEGA,SIN INFORMACIÓN,20,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,28,ASOCIACION DE USUARIOS,ASOAMARILLOS,SIN INFORMACIÓN,Café,,,,,,,,,
POINT (-76.83241313596263 2.128961792838012),ADTP0184,170,PLANES-TABLONCITO,19,CAUCA,19397,LA VEGA,SIN INFORMACIÓN,64,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,42,ASOCIACION DE USUARIOS,PLANES Y TABLONCITO,354 del 28/06/1996,Caña,,,,,,,,,
POINT (-77.21679315112432 1.6811670053441554),ADTP0185,171,MERCADERES,19,CAUCA,19450,MERCADERES,ARBOLEDA,350,0,Pequeña,1200,Riego y Drenaje,SIN INFORMACIÓN,NO,115,ASOCIACION DE USUARIOS,ASOMERCADERES,730 del 07/11/1996,Maíz,,,,,,,,,
POINT (-77.18690747420962 1.7910116987870999),ADTP0186,172,PATANGUEJO,19,CAUCA,19450,MERCADERES,SIN INFORMACIÓN,40,0,Pequeña,0,Riego y Drenaje,AOM,SI,40,ASOCIACION DE USUARIOS,ASOPATANGUEJO,SIN INFORMACIÓN,SIN INFORMACIÓN,CRC,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,77° 11.214' W,1° 47.461' N,Río Patia Alto,5201
POINT (-76.21068449258637 3.2137054575811477),ADTP0187,173,CARAQUEÑO,19,CAUCA,19455,MIRANDA,CARAQUEÑO,180,0,Pequeña,1595,Riego y Drenaje,AOM,SI,54,ASOCIACION DE USUARIOS,ASOCARAQUEÑO,SIN INFORMACIÓN,Hortalizas,,,,,,,,,
POINT (-75.99995790273296 2.7579783831258897),ADTP0188,174,MORAS,19,CAUCA,19517,PÁEZ (Belalcázar),MORAS,90,0,Pequeña,0,Riego y Drenaje,AOM,SI,56,ASOCIACION DE USUARIOS,ASOMORAS,SIN INFORMACIÓN,Papa,,,,,,,,,
POINT (-73.19398432402328 8.251354849597883),ADTP0534,535,ASUREP,54,NORTE DE SANTANDER,54398,LA PLAYA,SIN INFORMACIÓN,43,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,41,SIN INFORMACIÓN,ASUREP,SIN INFORMACIÓN,SIN INFORMACIÓN,CORPONOR,Rsv. El tunal,SI,NO,PROYECTAMOS,73° 11.639' W,8° 15.081' N,Río Tarra,1604
POINT (-77.04103543937129 2.1793651484206076),ADTP0190,176,HOYO DE LA MINA,19,CAUCA,19532,PATÍA (El Bordo),PARCELACIÓN QUINTERO,25,0,Pequeña,0,Riego y Drenaje,AOM,SI,20,ASOCIACION DE USUARIOS,HOYO DE LA MINA,395 del 28/06/1996,Caña,,,,,,,,,
POINT (-77.04072310654388 2.1326998403080646),ADTP0191,177,LA MANGUITA,19,CAUCA,19532,PATÍA (El Bordo),LA MANGUITA,60,0,Pequeña,0,Riego y Drenaje,AOM,SI,75,ASOCIACION DE USUARIOS,ASOLAMANGUITA,SIN INFORMACIÓN,SIN INFORMACIÓN,CRC,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,77° 2.443' W,2° 7.962' N,Río Patia Alto,5201
POINT (-76.52521566715839 2.666283742403398),ADTP0192,178,FARALLONES,19,CAUCA,19548,PIENDAMÓ,FARALLONES,35,0,Pequeña,0,Riego y Drenaje,AOM,SI,36,INCODER,ASOFARALLONES,SIN INFORMACIÓN,Flores,,,,,,,,,
POINT (-76.55622266027092 2.7040731235754847),ADTP0193,179,LA ESPERANZA,19,CAUCA,19548,PIENDAMÓ,LA ESPERANZA,63,0,Pequeña,2184,Riego y Drenaje,SIN INFORMACIÓN,NO,36,INCODER,ASOESPERANZA,SIN INFORMACIÓN,Café,CRC,R. Machete,NO,NO,PROYECTAMOS,76° 33.373' W,2° 42.244' N,Río Ovejas,2606
POINT (-76.53022945036759 2.6626275579478764),ADTP0194,180,LA MARIA,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMBIENTE FUENTE DE VIDA""",19,CAUCA,19548,PIENDAMÓ,LA MARIA,80,0,Pequeña,0,Riego y Drenaje,AOM,SI,300,INCODER,FUENTE DE VIDA DEL RESGUARDO LA MARÍA,SIN INFORMACIÓN,Yuca,,,,,,,,,,,,
POINT (-76.62599384214029 2.691467549015962),ADTP0195,181,SANTA HELENA,19,CAUCA,19548,PIENDAMÓ,SANTA HELENA,63,0,Pequeña,222,Riego y Drenaje,AOM,SI,45,ASOCIACION DE USUARIOS,ASOSANTAHELENA,SIN INFORMACIÓN,Tomate,,,,,,,,,
POINT (-76.7976400846091 1.7956978423807344),ADTP0196,182,EL ROSAL,19,CAUCA,19693,SAN SEBASTIÁN,SIN INFORMACIÓN,250,0,Pequeña,0,Riego y Drenaje,AOM,SI,170,ASOCIACION DE USUARIOS,ASOELROSAL,SIN INFORMACIÓN,Caña,,,,,,,,,
POINT (-76.49617381694357 2.8821839334402575),ADTP0197,183,AGUA BLANCA,19,CAUCA,19698,SANTANDER DE QUILICHAO,AGUA BLANCA,80,0,Pequeña,0,Riego y Drenaje,AOM,SI,56,INCODER,ASOAGUA BLANCA,369 del 28/06/1996,Tomate,,,,,,,,,
POINT (-76.49502619168665 2.9699763197890117),ADTP0198,184,CANOAS,19,CAUCA,19698,SANTANDER DE QUILICHAO,SIN INFORMACIÓN,27,0,Pequeña,0,Riego y Drenaje,AOM,SI,22,ASOCIACION DE USUARIOS,ASOCANOAS,SIN INFORMACIÓN,Cítricos,,,,,,,,,
POINT (-76.58375293560553 2.9687705772067963),ADTP0199,185,DOMINGUILLO,19,CAUCA,19698,SANTANDER DE QUILICHAO,DOMINGUILLO,28,0,Pequeña,0,Riego y Drenaje,AOM,SI,52,ASOCIACION DE USUARIOS,ASODOMINGUILLO,770 del 07/11/1996,Frijol,,,,,,,,,
POINT (-76.3231345847614 2.667940180739186),ADTP0200,186,CABILDO DE GUAMBIA,19,CAUCA,19743,SILVIA,SIN INFORMACIÓN,85,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,80,ASOCIACION DE USUARIOS,CABILDO DE GUAMBIA,SIN INFORMACIÓN,SIN INFORMACIÓN,CRC,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,76° 19.388' W,2° 40.076' N,Río Piendamo,2627
POINT (-76.38435457296251 2.6919513612431976),ADTP0201,187,CACIQUE,19,CAUCA,19743,SILVIA,CACIQUE,30,0,Pequeña,2688,Riego y Drenaje,AOM,SI,138,ASOCIACION DE USUARIOS,MIDIRGOCAH,SIN INFORMACIÓN,Cebolla,,,,,,,,,
POINT (-76.30865209410655 2.639975960114412),ADTP0202,188,CORRALES,19,CAUCA,19743,SILVIA,CORRALES,95,0,Pequeña,0,Riego y Drenaje,AOM,SI,75,ASOCIACION DE USUARIOS,ASOCORRALES,SIN INFORMACIÓN,Papa,,,,,,,,,
POINT (-76.31684173359521 2.607823827017309),ADTP0203,189,EL JARDÍN,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-76.33338875740671 2.6378577190704635),ADTP0204,190,LA CAMPANA,19,CAUCA,19743,SILVIA,LA CAMPANA,50,0,Pequeña,0,Riego y Drenaje,AOM,SI,28,ASOCIACION DE USUARIOS,RESGUARDO DE WAMPIA,SIN INFORMACIÓN,Cebolla,,,,,,,,,
POINT (-76.29933946368878 2.620295426946944),ADTP0205,191,LA CHORRERA GUAMBIA,19,CAUCA,19743,SILVIA,SIN INFORMACIÓN,85,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,30,ASOCIACION DE USUARIOS,LA CHORRERA GUAMBIA,SIN INFORMACIÓN,SIN INFORMACIÓN,CRC,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,76° 17.960' W,2° 37.218' N,Río Piendamo,2627
POINT (-76.29905930105015 2.6842067325700527),ADTP0206,192,LA ESPERANZA PITAYO,19,CAUCA,19743,SILVIA,ESPERANZA,150,0,Pequeña,2184,Riego y Drenaje,AOM,SI,81,INCODER,ASOLAESPERANZA,165 del 02/05/2013,Pastos,,,,,,,,,
POINT (-76.31121404269614 2.631560087915618),ADTP0207,193,NIMBE - CAMPANA,19,CAUCA,19743,SILVIA,NIMBE,50,0,Pequeña,0,Riego y Drenaje,AOM,SI,50,INCODER,ASONIMBE - CAMPANA,SIN INFORMACIÓN,Cebolla,,,,,,,,,
POINT (-76.36434783381463 2.656460649632795),ADTP0208,194,PRIMERA FASE 36 VEREDAS,19,CAUCA,19743,SILVIA,SIN INFORMACIÓN,200,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,200,ASOCIACION DE USUARIOS,INTERRESGUARDO MULTICULTURAL,SIN INFORMACIÓN,SIN INFORMACIÓN,CRC,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,76° 21.861' W,2° 39.388' N,Río Piendamo,2627
POINT (-76.3240888897859 2.625434447401752),ADTP0209,195,PUEBLITO,19,CAUCA,19743,SILVIA,SIN INFORMACIÓN,25,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,160,ASOCIACION DE USUARIOS,ASOPUEBLITO,SIN INFORMACIÓN,SIN INFORMACIÓN,CRC,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,76° 19.445' W,2° 37.526' N,Río Piendamo,2627
POINT (-76.4359487715806 2.67749418623233),ADTP0210,196,SAN FERNANDO,19,CAUCA,19743,SILVIA,SAN FERNANDO,30,0,Pequeña,2561,Riego y Drenaje,AOM,SI,40,ASOCIACION DE USUARIOS,ASOSANFERNANDO,90 del 08/02/2001,Ajo,,,,,,,,,
POINT (-76.4170599600959 2.560442774115458),ADTP0211,197,SAN GABRIEL,19,CAUCA,19743,SILVIA,SAN GABRIEL,30,0,Pequeña,2736,Riego y Drenaje,AOM,SI,25,ASOCIACION DE USUARIOS,ASOSAN GABRIEL,367 del 28/06/1996,Maíz,,,,,,,,,
POINT (-76.39843096407182 2.6454505524070244),ADTP0212,198,VALLENUEVO,19,CAUCA,19743,SILVIA,SIN INFORMACIÓN,20,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,20,ASOCIACION DE USUARIOS,ASOVALLENUEVO,SIN INFORMACIÓN,SIN INFORMACIÓN,CRC,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,76° 23.906' W,2° 38.727' N,Río Ovejas,2606
POINT (-76.34272101627505 2.6679040711604602),ADTP0213,199,WARANKAL - GUAMBIA,19,CAUCA,19743,SILVIA,SIN INFORMACIÓN,65,0,Pequeña,0,Riego y Drenaje,AOM,SI,400,ASOCIACION DE USUARIOS,RESGUARDO DE GUAMBIA,SIN INFORMACIÓN,Uchuvas,,,,,,,,,
POINT (-76.59996470459227 2.2136144598849072),ADTP0214,200,LA ESPERANZA,19,CAUCA,19760,SOTARÁ (Paispamba),LA ESPERANZA,23,0,Pequeña,2184,Riego y Drenaje,AOM,SI,23,ASOCIACION DE USUARIOS,ASOESPERANZA,554 del 16/12/1997,Mora,,,,,,,,,
POINT (-76.67240413056889 2.27723128917025),ADTP0215,201,LOMA ALTA,19,CAUCA,19760,SOTARÁ (Paispamba),LOMA ALTA,65,0,Pequeña,2575,Riego y Drenaje,AOM,SI,32,ASOCIACION DE USUARIOS,ASOLOMAALTA - ASOLOMALTA (Antes),593 del 23/07/2002,Pastos,,,,,,,,,
POINT (-76.7647224864132 2.8523982612266985),ADTP0217,203,SANTA BARBARA,19,CAUCA,19780,SUÁREZ,SANTA BARBARA,37,0,Pequeña,1400,Riego y Drenaje,SIN INFORMACIÓN,NO,27,ASOCIACION DE USUARIOS,ASOSANTABARBARA,536 del 16/12/1997,Maíz,,,,,,,,,
POINT (-76.91564299990237 2.0518107137420354),ADTP0218,204,COLORADOS,19,CAUCA,19785,SUCRE,COLORADOS,141,0,Pequeña,0,Riego y Drenaje,AOM,SI,61,ASOCIACION DE USUARIOS,ASOCOLORADOS,413 del 11/08/2014,Sábila,,,,,,,,,
POINT (-76.73372657598179 2.334676165644619),ADTP0219,205,TIMBIO,19,CAUCA,19807,TIMBÍO,SACHACOCO,,,,,,,,,,,,,,,,,,,,,
POINT (-76.37030477882489 2.5074983218590554),ADTP0220,206,BETANIA,19,CAUCA,19824,TOTORÓ,BETANIA,57,0,Pequeña,2845,Riego y Drenaje,AOM,SI,57,ASOCIACION DE USUARIOS,ASOBETANIA,365 del 28/06/1996,Aromáticas,,,,,,,,,
POINT (-76.41478635139738 2.5151586531049563),ADTP0221,207,CHUSCALES,19,CAUCA,19824,TOTORÓ,CHUSCALES,81,0,Pequeña,3081,Riego y Drenaje,AOM,SI,72,ASOCIACION DE USUARIOS,ASOCHUSCALES,4 del 07/01/1997,Papa,,,,,,,,,
POINT (-76.43239521256073 2.535014737588755),ADTP0222,208,GALLINAZO - ELCOFRE,19,CAUCA,19824,TOTORÓ,GALLINAZO,,,,,,,,,,,,,,,,,,,,,
POINT (-76.47526536634564 2.5581299228980723),ADTP0223,209,PANIQUITA,19,CAUCA,19824,TOTORÓ,SAN ANTONIO,52,0,Pequeña,2213,Riego y Drenaje,AOM,SI,52,ASOCIACION DE USUARIOS,ASOPANIQUITA,747 del 07/11/1996,Pastos,,,,,,,,,
POINT (-73.27996399996667 9.701827599443368),ADTP0224,210,CARTAGENA LAS PIÑAS,20,CESAR,20045,BECERRILL,SIN INFORMACIÓN,110,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,38,ASOCIACION DE USUARIOS,ASOCARTAGENA,SIN INFORMACIÓN,SIN INFORMACIÓN,CORPOCESAR,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,73° 16.798' W,9° 42.110' N,Medio Cesar,2802
POINT (-73.12446801700798 9.711888360173557),ADTP0225,211,CERRO AZUL,20,CESAR,20045,BECERRILL,SOCOMBA,,,,,,,,,,,,,,,,,,,,,
POINT (-73.75071194915485 9.190551919190268),ADTP0226,212,VILLA LUCY,20,CESAR,20175,CHIMICHAGUA,VILLA LUCY,35,481.1,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,15,ASOCIACION DE USUARIOS,ASOVILLALUCY,8 del 08/01/1999,Plátano,,,,,,,,,
POINT (-73.50654875876101 9.411175255070843),ADTP0227,213,ANIME,20,CESAR,20178,CHIRIGUANÁ,RINCON HONDO,,,,,,,,,,,,,,,,,,,,,
POINT (-73.58687868961637 9.285737841331967),ADTP0228,214,PACHO PRIETO,20,CESAR,20178,CHIRIGUANÁ,LOS MARTINEZ,,,,,,,,,,,,,,,,,,,,,
POINT (-75.77775591533995 9.359474308552285),ADTP0249,237,TIJERETA,23,CÓRDOBA,23672,SAN ANTERO,TIJERETA,15,0,Pequeña,0,Riego y Drenaje,AOM,SI,30,ASOCIACION DE USUARIOS,SIN INFORMACIÓN,SIN INFORMACIÓN,Maíz,,,,,,,,,
POINT (-73.14221317844137 9.95342931307159),ADTP0229,215,LA IBERIA,20,CESAR,20013,AGUSTÍN CODAZZI,LA IBERIA,70,0,Pequeña,0,Riego y Drenaje,AOM,SI,43,ASOCIACION DE USUARIOS,ASO LA IBERIA,886 del 27/12/1996,Pancoger,,,,,,,,,
POINT (-73.59755255842913 9.194597552764028),ADTP0230,216,ANIME - LA VIA CURUMANI,20,CESAR,20228,CURUMANÍ,ANAIME-LA VÍA,43,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,17,ASOCIACION DE USUARIOS,ASOVIA,607 del 01/10/1996,Pan Coger,,,,,,,,,
POINT (-73.86897759225735 10.102192663614458),ADTP0231,217,RIO ARIGUANI,20,CESAR,20238,EL COPEY,SIN INFORMACIÓN,70,0,Pequeña,0,Riego y Drenaje,AOM,SI,67,ASOCIACION DE USUARIOS,ASOARIGUANI,147 del 05/03/1996,SIN INFORMACIÓN,CORPOCESAR,R. Ariguancito,NO,NO,PROYECTAMOS,73° 52.139' W,10° 6.132' N,Río Ariguaní,2804
POINT (-73.71121817656685 8.514539903819252),ADTP0232,218,TORCOROMA,20,CESAR,20383,LA GLORIA,TORCOROMA,120,474.3,Pequeña,0,Riego y Drenaje,AOM,SI,10,INCODER,ASOTORCOROMA,647 del 01/10/1996,Pancoger,,,,,,,,,
POINT (-73.2103113123064 9.586801909031093),ADTP0233,219,ESTRELLA,20,CESAR,20400,LA JAGUA DE IBIRICO,LA ESTRELLA,75,0,Pequeña,0,Riego y Drenaje,AOM,SI,30,ASOCIACION DE USUARIOS,ASO LA ESTRELLA,891 del 27/12/1996,Pancoger,,,,,,,,,
POINT (-73.2486880477398 9.491601991316678),ADTP0234,220,TRIANGULO,20,CESAR,20400,LA JAGUA DE IBIRICO,LA CONQUISTA,29,0,Pequeña,0,Riego y Drenaje,AOM,SI,19,ASOCIACION DE USUARIOS,ASOELTRIANGULO,522 del 28/08/1996,Pancoger,,,,,,,,,
POINT (-73.04616719997881 10.342125238244655),ADTP0235,221,BETANIA,20,CESAR,20621,LA PAZ,CORREGIMIENTO SAN JOSÉ DE ORIENTE,25,0,Pequeña,2845,Riego y Drenaje,AOM,SI,154,ASOCIACION DE USUARIOS,ASOBETANIA,793 del 15/11/1996,Maíz,,,,,,,,,
POINT (-73.1317164504233 10.388073765791686),ADTP0236,222,VARAS BLANCAS,20,CESAR,20621,LA PAZ,SIN INFORMACIÓN,120,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,14,ASOCIACION DE USUARIOS,SIN INFORMACIÓN,SIN INFORMACIÓN,Yuca,,,,,,,,,
POINT (-72.96794015191756 10.395363889565077),ADTP0237,223,SABANAS DE LEON,20,CESAR,20443,MANAURE BALCÓN DEL CESAR,HONDO DEL RÍO Y CASA GRANDE,70,0,Pequeña,0,Riego y Drenaje,AOM,SI,64,ASOCIACION DE USUARIOS,ASOSABANAS DE LEON,518 del 28/08/1996,Pan Coger,,,,,,,,,
POINT (-73.77878666159292 8.763876207124383),ADTP0238,224,BUENOS AIRES,20,CESAR,20787,TAMALAMEQUE,LA PALESTINA,,,,,,,,,,,,,,,,,,,,,
POINT (-73.41854826255809 10.64236593833184),ADTP0239,225,PONTON,20,CESAR,20001,VALLEDUPAR,PONTON,15,40,Pequeña,0,Riego y Drenaje,AOM,SI,28,ASOCIACION DE USUARIOS,ASOPONTON,608 del 01/10/1996,Pancoger,,,,,,,,,
