Ciclo,Departamento,Cultivo,Calendario,Año_EVA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Permanente,Caquetá,Aguacate,Cosechas,2022,7.82,4.65,9.31,12.9,10.72,12.56,9.14,5.61,5.27,6.53,7.75,7.73
Permanente,Cauca,Aguacate,Cosechas,2022,1.88,8.59,14.77,23.48,5.93,5,6.35,5.97,2,10.21,13.12,2.72
Permanente,Cesar,Aguacate,Cosechas,2022,0.63,0.69,6.12,14.4,8.32,9.47,0.63,0.63,0.63,14.85,26.32,17.32
Permanente,Córdoba,Aguacate,Cosechas,2022,8.35,4.89,9.7,10.52,8.36,12.53,9.61,6.16,5.74,6.72,8.61,8.82
Permanente,Cundinamarca,Aguacate,Cosechas,2022,2.3,6.95,16.56,11.68,10.28,11.99,12.97,6.13,4.71,4.59,9.04,2.79
Permanente,Chocó,Aguacate,Cosechas,2022,2.25,23.77,27.36,9.46,9.43,2.25,2.29,2.25,2.25,2.25,2.82,13.6
Permanente,Huila,Aguacate,Cosechas,2022,7.65,11.19,9.2,6.34,6.16,7.88,6.79,10.54,10.77,7.83,8.74,6.9
Permanente,La guajira,Aguacate,Cosechas,2022,9.01,0.25,0.33,16.5,31.08,19.45,4.45,1.59,4.18,4.14,0,9.01
Permanente,Meta,Aguacate,Cosechas,2022,4.31,4.49,3.42,0.81,0.75,0.75,0.61,0.45,20.55,22.65,40.07,1.15
Permanente,Nariño,Aguacate,Cosechas,2022,11.82,0.31,6.16,16.1,8.07,6.85,17.38,6.36,8.18,7.07,7.44,4.26
Permanente,Norte de Santander,Aguacate,Cosechas,2022,0,0,28.53,33.06,25.04,1.64,0.23,0.23,4.1,3.87,3.02,0.29
Permanente,Quindío,Aguacate,Cosechas,2022,1.63,5.6,11.04,6.81,16.87,23.8,6.43,4.1,6.69,3.06,8.84,5.13
Permanente,Risaralda,Aguacate,Cosechas,2022,2.59,5.54,10.6,3.02,8.19,13.29,9.1,12.36,8.23,15.37,6.61,5.1
Permanente,Santander,Aguacate,Cosechas,2022,4.94,4.42,7.14,14.61,19.05,9.21,4.9,6.22,8.89,9.83,10.03,0.78
Permanente,Sucre,Aguacate,Cosechas,2022,0,3.53,3.53,22.16,31.79,11.78,4.86,4.73,3.86,8.81,3.53,1.41
Permanente,Tolima,Aguacate,Cosechas,2022,20.35,4.3,4.32,8.77,2.5,12.1,18.98,2.48,2.06,3.42,7.09,13.62
Permanente,Valle del Cauca,Aguacate,Cosechas,2022,4.62,3.75,9.21,4.87,12.74,7.46,8.65,8.88,10.37,9.13,16.34,3.98
Permanente,Arauca,Aguacate,Cosechas,2022,0,0,21.82,26.14,33.18,9.43,4.72,4.72,0,0,0,0
Permanente,Casanare,Aguacate,Cosechas,2022,0.29,12.76,33.62,0.58,0.58,5.12,3.99,3.69,25.23,12.96,0.58,0.58
Permanente,Putumayo,Aguacate,Cosechas,2022,7.82,4.65,9.31,12.9,10.72,12.56,9.14,5.61,5.27,6.53,7.75,7.73
Permanente,Antioquia,Aguacate,Siembras,2022,4.8,4.09,17.77,19.28,11.27,5.37,5.52,4.19,4.88,9.28,10.22,3.35
Permanente,Atlántico,Aguacate,Siembras,2022,7.17,6.07,13.24,15.04,13.58,10.16,4.66,4.43,11.15,8.3,4.95,1.27
Permanente,Bolívar,Aguacate,Siembras,2022,0,0,1.77,41.77,54.7,1.77,0,0,0,0,0,0
Permanente,Boyacá,Aguacate,Siembras,2022,1.89,1.89,29.56,28.99,7.74,1.89,1.89,7.28,9.8,0.95,7.19,0.95
Permanente,Caldas,Aguacate,Siembras,2022,5.55,12.8,9.92,16.08,11.89,11.62,10.12,6.85,5.89,5.64,1.92,1.72
Permanente,Caquetá,Aguacate,Siembras,2022,7.17,6.07,13.24,15.04,13.58,10.16,4.66,4.43,11.15,8.3,4.95,1.27
Permanente,Cauca,Aguacate,Siembras,2022,0,0,14.13,14.13,0.7,0.7,0.7,0.35,30.94,25.77,12.58,0
Permanente,Cesar,Aguacate,Siembras,2022,27.01,9.01,22.57,23.28,8.85,0,0,9.29,0,0,0,0
Permanente,Córdoba,Aguacate,Siembras,2022,7.17,6.07,13.24,15.04,13.58,10.16,4.66,4.43,11.15,8.3,4.95,1.27
Permanente,Cundinamarca,Aguacate,Siembras,2022,4.09,6.33,18.82,9.74,17.88,5.68,2.74,7.94,7.01,18.43,1.35,0
Permanente,Chocó,Aguacate,Siembras,2022,13.12,6.59,13.12,6.59,10.94,6.59,6.59,6.59,10.94,6.59,6.59,5.76
Permanente,Huila,Aguacate,Siembras,2022,9.91,11.9,13.17,18.15,11.07,13.17,5.8,3.8,5.21,3.33,3.03,1.46
Permanente,La guajira,Aguacate,Siembras,2022,11,0,15.69,22.55,20.67,12.02,0.12,0.11,3.48,3.37,0,11
Permanente,Meta,Aguacate,Siembras,2022,0,0,59.63,39.03,0,0,0,1.34,0,0,0,0
Permanente,Nariño,Aguacate,Siembras,2022,0,4.29,22.17,22.17,1.55,4.81,0,1.55,3.82,37.68,1.98,0
Permanente,Norte de Santander,Aguacate,Siembras,2022,1.31,1.97,13.23,24.51,12.48,4.99,2.82,1.09,17.56,15.94,1.37,2.74
Permanente,Quindío,Aguacate,Siembras,2022,10.43,33.87,10.52,13.2,3.51,4.67,3.35,0,3.72,10.87,5,0.87
Permanente,Risaralda,Aguacate,Siembras,2022,0.63,4.4,25.76,18.19,17.32,8.26,1.38,0,4.23,9.21,8.46,2.16
Permanente,Santander,Aguacate,Siembras,2022,4.05,5.88,6.8,15.03,18.1,9.56,4.81,6.67,10.5,9.77,8.83,0
Permanente,Sucre,Aguacate,Siembras,2022,0,0,0,0,50,50,0,0,0,0,0,0
Permanente,Tolima,Aguacate,Siembras,2022,2.92,0,24.89,11.65,11.21,1.19,4.96,8.07,25.22,7.98,1.92,0
Permanente,Valle del Cauca,Aguacate,Siembras,2022,6.4,9.55,7.85,11.2,12.96,11.17,8.73,9.98,5.83,4.77,11.56,0
Permanente,Arauca,Aguacate,Siembras,2022,0,0,5.08,55.49,36.42,3.01,0,0,0,0,0,0
Permanente,Casanare,Aguacate,Siembras,2022,0,0,26.2,53.49,20.31,0,0,0,0,0,0,0
Permanente,Putumayo,Aguacate,Siembras,2022,7.17,6.07,13.24,15.04,13.58,10.16,4.66,4.43,11.15,8.3,4.95,1.27
Permanente,Vichada,Aguacate,Siembras,2022,6.6,5.59,13.62,13.74,12.55,10.47,4.95,5.17,12.64,9.13,4.53,1.03
Transitorio,Antioquia,Ahuyama,Cosechas,2022,6.99,9.63,6.06,7.62,6.31,12.7,12.7,4.23,4.23,0,4.81,24.71
Transitorio,Atlántico,Ahuyama,Cosechas,2022,5.96,4.1,0.06,0.03,0.05,6.44,13.13,7.04,18.09,21.74,14.2,9.17
Transitorio,Bolívar,Ahuyama,Cosechas,2022,4.73,2.75,5.51,3.29,3.74,1.48,22.99,4.9,0.11,34.1,15.62,0.8
Transitorio,Boyacá,Ahuyama,Cosechas,2022,0,0,0,0.23,15.23,26.19,28.77,24.4,3.81,1.37,0,0
Transitorio,Caldas,Ahuyama,Cosechas,2022,0,0,0,0,0,0,0,0,0,0,100,0
Transitorio,Caquetá,Ahuyama,Cosechas,2022,0,0,0,0,16.67,16.67,0,0,0,13.33,33.33,20
Transitorio,Cauca,Ahuyama,Cosechas,2022,7.2,18.1,14.29,1.24,0,0,0.85,20.28,19.6,15.34,1.86,1.24
Transitorio,Cesar,Ahuyama,Cosechas,2022,5.39,7.43,4.67,2.61,1.6,0,13.89,22.92,3.18,6.12,1.22,30.98
Transitorio,Córdoba,Ahuyama,Cosechas,2022,0,0,0,0,0,0,14.22,56.87,0.37,10.49,10.13,7.92
Transitorio,Cundinamarca,Ahuyama,Cosechas,2022,1.78,13.92,10.32,0.51,2.07,0.97,42.3,16.65,0.19,5.52,3.71,2.07
Transitorio,Huila,Ahuyama,Cosechas,2022,7.06,4.64,4.17,8.75,12.09,15.77,11.19,6.61,4.88,7.59,11.53,5.72
Transitorio,La guajira,Ahuyama,Cosechas,2022,28.14,6.42,4.67,0.33,0,0,4.47,8.52,1.61,2.73,10.38,32.72
Transitorio,Magdalena,Ahuyama,Cosechas,2022,0,0,0,0,35.98,22.38,0,0,0,0,22.61,19.03
Transitorio,Meta,Ahuyama,Cosechas,2022,0,0,0,0,0,0,0,0,20.83,20.83,0,58.33
Transitorio,Nariño,Ahuyama,Cosechas,2022,7.69,6.65,4.52,2.09,7.55,8.41,13.54,12.86,3.43,6.34,12.71,14.22
Transitorio,Norte de Santander,Ahuyama,Cosechas,2022,0.65,0.01,0,0,38.1,39.4,1.29,0,0,0,11.43,9.11
Transitorio,Quindío,Ahuyama,Cosechas,2022,27.21,1.94,0.04,21.51,8.24,0.35,27.7,0.11,0.03,11.7,0.91,0.25
Transitorio,Santander,Ahuyama,Cosechas,2022,1.96,1.71,3.92,7.9,8.47,15.77,13.52,17.72,5.7,9.81,6.59,6.92
Transitorio,Sucre,Ahuyama,Cosechas,2022,0,0,0,0,0,0,10,60,20,5,5,0
Transitorio,Tolima,Ahuyama,Cosechas,2022,27.51,13.76,0,0,0.46,4.95,16.15,17.49,12.91,0.46,0.98,5.33
Transitorio,Valle del Cauca,Ahuyama,Cosechas,2022,11.05,8.91,5.63,3.24,6.79,14.64,11.62,9.84,5.35,3.1,6.82,13.03
Transitorio,Casanare,Ahuyama,Cosechas,2022,2.64,14.81,4.9,2.45,0,44.29,22.73,7.61,0.35,0,0.05,0.17
Transitorio,Amazonas,Ahuyama,Cosechas,2022,7.69,6.65,4.52,2.09,7.55,8.41,13.54,12.86,3.43,6.34,12.71,14.22
Transitorio,Vichada,Ahuyama,Cosechas,2022,8.33,0,0,0,0,0,20.56,59.03,12.08,0,0,0
Transitorio,Antioquia,Ahuyama,Siembras,2022,4.58,4.58,13.73,13.73,4.58,4.58,6.25,23.62,7.62,10.6,5.42,0.73
Transitorio,Atlántico,Ahuyama,Siembras,2022,0.17,0.21,16.79,24.69,18.19,5.09,2.75,11.35,13.25,5,2.5,0.01
Transitorio,Bolívar,Ahuyama,Siembras,2022,13.38,1.04,6.21,22.16,8.89,0.14,7.1,33.41,6.58,0,0.15,0.95
Transitorio,Boyacá,Ahuyama,Siembras,2022,13.88,26.52,28.45,25.17,3.67,2.33,0,0,0,0,0,0
Transitorio,Caldas,Ahuyama,Siembras,2022,0,0,0,0,0,0,0,0,100,0,0,0
Transitorio,Caquetá,Ahuyama,Siembras,2022,0,16.67,16.67,0,0,0,0,20,46.67,0,0,0
Transitorio,Cauca,Ahuyama,Siembras,2022,0,12.13,15.91,9.55,10.2,0.06,5.29,9.66,16.55,12.85,7.72,0.09
